vehicle_id,vehicle_type,mileage,avg_daily_km,engine_health,brakes_health,tyres_health,battery_health,coolant_temp_c,vibration_rms,brake_pad_mm,days_since_last_service,is_overdue,risk_score,failure_within_30d
FL-1001,Heavy Truck,185549,362,73.7,57.9,48.3,84.6,89.8,1.68,7.7,90,0,31,0
FL-1002,Rigid Truck,439756,437,92.4,69.2,75.9,61.5,84.1,1.06,8.9,157,1,50,0
FL-1003,Mini Truck,110445,299,88.5,66.8,78.7,61.3,86.2,1.18,8.7,171,1,47,0
FL-1004,Mini Truck,93509,306,96.2,91.4,31.2,80.3,84.6,0.87,11.2,124,1,40,0
FL-1005,Heavy Truck,403277,186,76.9,29.6,25.9,91.6,88.3,1.63,5,132,1,68,1
FL-1006,Rigid Truck,56548,438,67.8,80.1,65.7,50.4,92.9,1.71,9.9,113,1,51,0
FL-1007,Heavy Truck,208262,387,36,89.1,64.4,79.1,101.3,2.84,11,4,0,35,0
FL-1008,Rigid Truck,38550,375,74.1,74,91.9,33.3,90.6,1.74,9.4,166,1,47,1
FL-1009,Rigid Truck,504570,212,31.1,70.1,77,45.9,103.5,3.13,9.1,174,1,70,1
FL-1010,Mini Truck,462762,113,52.4,39.6,57.8,83.6,96.3,2.34,6,22,0,45,0
FL-1011,Heavy Truck,135952,210,57.8,82.7,94.6,75.9,96.3,2.11,10.2,108,1,47,0
FL-1012,Rigid Truck,221336,247,62.9,32.8,30.5,57.1,93.3,2.06,5,112,1,70,1
FL-1013,Light Truck,309353,392,92.4,93.8,75.6,73.3,83.1,0.9,11.5,166,1,38,1
FL-1014,Mini Truck,556221,154,24.7,21.3,72.4,42.5,105,3.45,3.9,122,1,86,1
FL-1015,Heavy Truck,500554,414,86.3,98.4,48.7,70.9,87.4,1.08,11.9,50,0,22,0
FL-1016,Mini Truck,127105,365,47,91.7,33.8,35.7,98.1,2.62,11.3,85,0,37,0
FL-1017,Mini Truck,293642,88,61.4,42.3,45.2,43.6,95.8,2.02,6.2,141,1,71,1
FL-1018,Mini Truck,328006,402,57.7,71.3,41.4,44.5,95.2,2.28,9.2,28,0,40,0
FL-1019,Heavy Truck,336336,370,63.2,29.4,57,92.2,93.8,1.91,5,111,1,65,0
FL-1020,Light Truck,144280,201,59.8,67.3,69.8,65.5,95.9,2.19,8.5,80,0,32,0
FL-1021,Heavy Truck,387876,203,32,22.8,25.1,94.6,102.9,3.16,4.1,8,0,58,0
FL-1022,Utility Pickup,58452,313,25.7,61,56,98.3,104.5,3.24,8.1,171,1,64,1
FL-1023,Rigid Truck,45667,439,24.4,29,79.1,39.7,105.3,3.37,4.9,39,0,53,0
FL-1024,Heavy Truck,332541,424,58,86.9,68.4,70.1,95.8,2.11,10.5,94,1,52,0
FL-1025,Rigid Truck,182123,158,25.7,74.1,81.3,85.9,107.1,3.32,9.3,42,0,36,0
FL-1026,Heavy Truck,318958,92,71.6,64.3,26.5,85.6,90.7,1.76,8.4,130,1,59,0
FL-1027,Utility Pickup,362604,94,65.9,70.4,29,36.9,91.6,1.77,8.8,118,1,63,0
FL-1028,Utility Pickup,320153,181,84.2,60.9,29.9,93.1,86,1.24,8,167,1,55,1
FL-1029,Mini Truck,466463,330,86.1,23.7,92.4,85.4,87.9,1.32,4.1,3,0,35,1
FL-1030,Heavy Truck,356707,160,70.1,65.7,75.1,66.4,91.1,1.86,8.4,164,1,55,1
FL-1031,Utility Pickup,198740,382,32.6,49.6,94.8,44,103.6,3.21,7,16,0,43,0
FL-1032,Mini Truck,518282,354,93.4,31.3,77,93.8,83.8,1.01,5.1,99,1,56,1
FL-1033,Mini Truck,385653,157,22.4,41.6,34,51.6,105.9,3.46,6,84,0,63,1
FL-1034,Light Truck,493362,215,32.9,42.1,84.8,32.4,103.4,3.07,6.2,80,0,52,0
FL-1035,Rigid Truck,293951,170,75.2,34.2,74.8,63.9,89.7,1.5,5.4,171,1,61,1
FL-1036,Light Truck,513428,167,50.1,45.4,90.6,67,97.9,2.52,6.6,152,1,69,0
FL-1037,Light Truck,344019,344,79.6,75.7,41.5,53.9,87.2,1.4,9.5,69,1,54,0
FL-1038,Heavy Truck,390194,159,46.4,88.9,67.9,66.5,99,2.46,10.8,6,0,35,0
FL-1039,Heavy Truck,433148,181,63.8,47.7,83.2,85.9,94.4,1.87,6.5,107,1,61,0
FL-1040,Mini Truck,178250,217,55,80.5,76.9,80.4,97.4,2.27,10.2,154,1,54,1
FL-1041,Rigid Truck,203756,367,81.1,88.8,88,48.6,88.2,1.48,11,16,1,41,0
FL-1042,Mini Truck,82358,382,47,38.3,87.2,47.1,100.2,2.67,5.7,66,1,67,1
FL-1043,Utility Pickup,453756,395,78.4,47.1,49.4,73.2,88,1.37,6.7,106,1,62,1
FL-1044,Utility Pickup,522661,103,96.7,23.5,86.8,71.2,83.2,0.84,4,137,1,59,1
FL-1045,Rigid Truck,349938,101,78.6,54,74.2,82,87.6,1.4,7.3,164,1,52,0
FL-1046,Rigid Truck,154893,92,42.7,78.2,32.5,70.5,101.2,2.65,9.9,135,1,61,0
FL-1047,Utility Pickup,434814,148,77.3,74.5,87.9,38,90.2,1.5,9.6,59,0,31,0
FL-1048,Utility Pickup,272608,314,43.8,97.7,74.4,70.4,98.6,2.6,11.7,65,0,28,0
FL-1049,Utility Pickup,364959,344,49.6,57.3,32.6,53,98.2,2.5,7.6,124,1,71,1
FL-1050,Light Truck,84640,415,49,52.7,83.9,42.5,97.2,2.59,7,118,1,62,1
FL-1051,Utility Pickup,356214,417,41.2,49.1,45.2,87,100.9,2.9,6.9,159,1,71,0
FL-1052,Utility Pickup,492397,211,21.9,26.4,51.2,55.8,107.2,3.52,4.5,166,1,87,1
